id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12899,"Alberta Arts 2 bedroom suite, charming 1906 house",49682,Ali And David,,Concordia,45.56488,-122.63418,Entire home/apt,89,3,591,11/30/2021,4.08,1,353,40,14-218887-000-00-HO
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52564,-122.68273,Entire home/apt,140,30,127,12/1/2021,0.91,1,365,4,
41601,Grandpa's Bunkhouse-Backyard Studio,179045,Jean,,Roseway,45.54804,-122.58541,Entire home/apt,129,3,243,10/13/2021,1.76,2,365,17,14-240877-000-00-HO
45890,Auntie's Hideaway--Daylight Downstairs Studio,179045,Jean,,Roseway,45.54793,-122.58358,Entire home/apt,133,3,206,11/27/2021,1.61,2,358,15,14-240877-000-00-HO
61893,Perfect Portland Place,300391,Matt,,Goose Hollow,45.52258,-122.69955,Entire home/apt,104,30,15,12/1/2021,0.24,1,235,4,
65466,Mt. Tabor Bungalow,170035,Scott,,Mt. Tabor,45.50544,-122.61041,Private room,60,2,160,9/20/2021,1.57,1,233,2,City registration pending
67036,Historic Home Located in Central City,329777,Will,,Sullivan's Gulch,45.53103,-122.64448,Entire home/apt,425,4,31,2/27/2020,0.23,1,113,0,Exempt
80357,Free Standing Alley House with Garage,415758,Esther,,Sullivan's Gulch,45.53364,-122.63895,Entire home/apt,90,90,3,9/20/2021,0.02,2,352,1,709057
93613,Sunny Queen Room FUN Alberta Arts,501715,Teresa,,Sabin,45.55536,-122.65106,Private room,41,30,64,7/1/2021,0.51,8,334,1,
94500,Room in Vintage Alberta Bungalow,499386,James,,Concordia,45.55687,-122.6317,Private room,60,2,172,9/5/2021,1.34,1,88,3,City registration pending
99355,Beautiful Apt near City Center!,523311,Mark,,Irvington,45.53836,-122.65159,Entire home/apt,185,1,216,11/28/2021,1.8,2,312,30,Exempt
114086,Bright Friendly Home- Alberta Arts,501715,Teresa,,Sabin,45.55593,-122.65029,Private room,37,30,67,9/1/2021,0.53,8,167,2,
117969,Beautiful Newly-Remodeled Apartment,589016,Steve,,Richmond,45.51022,-122.63088,Entire home/apt,90,2,258,11/14/2021,3.23,1,170,40,City registration pending
131088,Second floor garden apartment,2513602,Jeannette,,Cully,45.56089,-122.61845,Entire home/apt,85,2,68,7/12/2020,0.67,2,354,0,City registration pending
143483,Garden Hideaway near City Center!,523311,Mark,,Irvington,45.54005,-122.64988,Entire home/apt,125,1,142,11/29/2021,1.16,2,313,23,City registration pending
145199,"Upstairs, studio with bath, fridge",683139,Amy,,Montavilla,45.52959,-122.59081,Private room,70,3,75,8/24/2020,0.59,1,365,0,City registration pending
182450,"Luminous, Cosy Home near lively SE Division Street",52505,Judy,,Richmond,45.50529,-122.63201,Entire home/apt,77,5,26,7/27/2021,0.23,2,10,2,14-212846-000-00-HO
182465,Great Breakfast next to lively Division St,52505,Judy,,Richmond,45.50582,-122.63389,Private room,50,2,320,2/23/2020,2.53,2,28,0,14-212846-000-00-HO
195632,Foodie's Paradise & Everyone's Playground!,659137,Anjali,,Boise,45.55083,-122.67567,Entire home/apt,102,28,85,12/2/2021,0.68,1,83,3,17-183022-000-00-HO
205616,Entire Home + Cottage • A Painted Lady Inn • 6 Bed,1011157,Jody,,Irvington,45.53689,-122.64977,Entire home/apt,317,3,90,10/31/2021,1.1,7,235,9,Exempt
213228,"Sweet 2 Room Suite, Private, Quiet",1099616,Abraham,,Overlook,45.56616,-122.67889,Private room,62,3,122,11/17/2021,0.98,2,0,13,17-195424-000-00-HO
217607,One Bedroom Artists Loft - Close to EvErYtHiNg,971012,Echo,,Old Town/Chinatown,45.52653,-122.67513,Entire home/apt,150,30,49,9/30/2020,0.39,2,365,0,City registration pending
218708,Opal 28 - King Suite Apt #3,6313800,Margot,,Kerns,45.5236,-122.63458,Entire home/apt,92,2,212,12/12/2021,1.7,4,80,39,Exempt
222298,"Blues,brews,and bicycle guesthouse",1153902,Taizz,,Overlook,45.55815,-122.69218,Private room,65,2,113,9/12/2021,0.91,3,158,18,City registration pending
231732,"large, sunny room in farmhouse",1153902,Taizz,,Overlook,45.55629,-122.69042,Private room,65,30,47,8/8/2021,0.41,3,309,2,
231734,"Private, sunny room in farmhouse",1153902,Taizz,,Overlook,45.55748,-122.69207,Private room,65,2,41,11/1/2021,0.34,3,314,11,City registration pending
236108,Large COMFY Room in Alberta Arts,501715,Teresa,,Sabin,45.55645,-122.64854,Private room,41,30,58,10/1/2019,0.49,8,365,0,
249526,Rosebud Room,1307164,Hilary,,Hosford-Abernethy,45.50806,-122.64337,Private room,45,30,410,12/7/2021,3.38,2,133,1,14-235129-000-00-HO
317797,Condo in the Courtyard,828435,Furnished In Portland,,Mt. Tabor,45.51203,-122.61079,Entire home/apt,43,30,36,8/28/2021,0.31,7,213,3,
332420,Classic SE Portland: Walkable to Everything!,1206902,LeBrie,,Sunnyside,45.518,-122.6322,Entire home/apt,236,4,35,8/26/2021,0.32,1,19,4,City registration pending
332585,Private flat in ideal Mt. Tabor location,1488233,Dina,,Mt. Tabor,45.51431,-122.6097,Entire home/apt,75,2,362,12/1/2021,3.03,2,336,33,19-271008-000-00-HO
345650,GUEST SUITE SURROUNDED BY NATURE,38860,Renata,,Hayhurst,45.48203,-122.71903,Entire home/apt,75,2,117,10/17/2021,1.02,1,201,14,City registration pending
357732,"Cheerful, musical, eclectic home",1810476,Susan,,Multnomah,45.46518,-122.71617,Private room,40,30,31,4/24/2021,0.27,2,308,2,City registration pending
